Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 69.0.3497.100,,2018-10-24 16:28:09,2018-10-24 16:28:21,12.628s,PASSED
,,,,,,
Test Cases/GmailTests,Chrome 69.0.3497.100,,2018-10-24 16:28:09,2018-10-24 16:28:21,12.047s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-24 16:28:10,2018-10-24 16:28:14,3.493s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-24 16:28:14,2018-10-24 16:28:17,2.925s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:28:17,2018-10-24 16:28:17,0.488s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:28:17,2018-10-24 16:28:17,0.202s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-24 16:28:17,2018-10-24 16:28:18,1.158s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:28:18,2018-10-24 16:28:19,0.304s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-24 16:28:19,2018-10-24 16:28:19,0.695s,PASSED
