Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 69.0.3497.100,,2018-10-24 13:34:56,2018-10-24 13:35:18,22.064s,FAILED
,,,,,,
Test Cases/GmailTests,Chrome 69.0.3497.100,,2018-10-24 13:34:57,2018-10-24 13:35:17,20.245s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-24 13:34:58,2018-10-24 13:35:07,8.334s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-24 13:35:07,2018-10-24 13:35:12,5.738s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 13:35:12,2018-10-24 13:35:13,0.753s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 13:35:13,2018-10-24 13:35:14,0.593s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-24 13:35:14,2018-10-24 13:35:15,1.058s,FAILED
