Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 69.0.3497.100,,2018-10-24 16:26:50,2018-10-24 16:27:12,22.146s,FAILED
,,,,,,
Test Cases/GmailTests,Chrome 69.0.3497.100,,2018-10-24 16:26:51,2018-10-24 16:27:11,20.672s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-24 16:26:53,2018-10-24 16:27:00,6.942s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-24 16:27:00,2018-10-24 16:27:03,2.545s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:27:03,2018-10-24 16:27:03,0.430s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:27:03,2018-10-24 16:27:08,5.226s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-24 16:27:08,2018-10-24 16:27:09,1.170s,FAILED
