Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 69.0.3497.100,,2018-10-24 16:25:28,2018-10-24 16:26:28,1m - 0.147s,FAILED
,,,,,,
Test Cases/GmailTests,Chrome 69.0.3497.100,,2018-10-24 16:25:29,2018-10-24 16:26:26,57.423s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-24 16:25:30,2018-10-24 16:26:05,34.747s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-24 16:26:05,2018-10-24 16:26:13,8.589s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:26:13,2018-10-24 16:26:16,2.748s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:26:16,2018-10-24 16:26:22,5.559s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-24 16:26:22,2018-10-24 16:26:24,2.227s,FAILED
