Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 69.0.3497.100,,2018-10-24 14:43:46,2018-10-24 14:44:04,18.751s,PASSED
,,,,,,
Test Cases/GmailTests,Chrome 69.0.3497.100,,2018-10-24 14:43:46,2018-10-24 14:44:04,18.001s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-24 14:43:47,2018-10-24 14:43:54,6.930s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-24 14:43:54,2018-10-24 14:43:59,4.977s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 14:43:59,2018-10-24 14:44:00,0.616s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 14:44:00,2018-10-24 14:44:00,0.334s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-24 14:44:00,2018-10-24 14:44:01,0.860s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 14:44:01,2018-10-24 14:44:01,0.249s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-24 14:44:01,2018-10-24 14:44:02,0.997s,PASSED
